№,Файл,Название,Длина (мм),Ширина (мм),Высота (мм),Кол-во,Объём 1 шт (м³),Общий объём (м³),Масса (кг),Транспорт
510,data_for_algoritm_16783.json,Д,4300,1500,1300,3,8.385,25.16,2100.0,Фура 13.6 м
511,data_for_algoritm_17169.json,УПАКОВКА ГРАНИТНОГО ПОЛА,1170,1010,265,3,0.3132,0.94,3.0,Европаллета
512,data_for_algoritm_11834.json,97,263,87,144,5,0.0033,0.02,2.51,Европаллета
513,data_for_algoritm_16554.json,Компрессор,1200,600,800,1,0.576,0.58,300.0,Европаллета
514,data_for_algoritm_16018.json,БС 850.950,1200,1100,2000,2,2.64,5.28,400.0,Фургон
515,data_for_algoritm_16846.json,А72,1200,1100,800,1,1.056,1.06,400.0,Европаллета
516,data_for_algoritm_16900.json,Конфеты SNICKERS АРАХНУГАКАРАМ ВЕС,400,300,204,1,0.0245,0.02,7.6,Европаллета
517,data_for_algoritm_17363.json,Г,3750,750,500,3,1.4062,4.22,1710.0,Фургон
518,data_for_algoritm_17375.json,Гофрокороб N23 (565х380х495),1200,883,2095,2,2.2199,4.44,500.0,Фургон
519,data_for_algoritm_15483.json,А313,5040,1640,1260,1,10.4147,10.41,1.44,Фургон
520,data_for_algoritm_17175.json,УПАКОВКА ЛЕБЕДКИ,870,1050,1200,3,1.0962,3.29,1470.0,Фургон
521,data_for_algoritm_15483.json,А295,5040,1640,1260,1,10.4147,10.41,1.19,Фургон
522,data_for_algoritm_15624.json,DIVA 8.3,1200.0,480.0,530.0,1.0,0.3053,0.31,38.0,Европаллета
523,data_for_algoritm_16952.json,Клапан обратный 1  (латунное седло),100,60,230,510,0.0014,0.7,1456.56,Фургон
524,data_for_algoritm_14975.json,ПП-2.1,7660,1285,60,1,0.5906,0.59,295.0,Европаллета
525,data_for_algoritm_16846.json,А54,1200,900,800,1,0.864,0.86,330.0,Европаллета
526,data_for_algoritm_16328.json,Камнеот,2600,1800,2300,1,10.764,10.76,900.0,Фургон
527,data_for_algoritm_16881.json,А7,1000,1400,100,1,0.14,0.14,885.0,Европаллета
528,data_for_algoritm_15456.json,Смесь на 2е MAGGI дмакарон Болон 30г,120,132,156,1,0.0025,0.0,0.48,Европаллета
529,data_for_algoritm_17096.json,Насос поверхностный «ДЖАМБО» 70 50 П,185,220,450,8,0.0183,0.15,81.6,Европаллета
