file,total_count,total_vol_m3,total_mass,missing_sizes,space_vol_m3,computed_fill_percent,flag
data_for_algoritm_16043.json,355,8.760496,2747.0,0,91.63,9.561,OK
data_for_algoritm_16047.json,2100,1.30977,5014.0,0,91.63,1.429,LOW_FILL
data_for_algoritm_16048.json,2500,1.55925,3890.0,0,91.63,1.702,LOW_FILL
data_for_algoritm_16050.json,2500,56.3811,27500.0,0,91.63,61.531,OK
data_for_algoritm_16060.json,12,38.657063,19789.0,0,91.63,42.188,OK
data_for_algoritm_16066.json,28,4.268062,3560.0,0,91.63,4.658,LOW_FILL
data_for_algoritm_16067.json,285,33.858,47025.0,0,91.63,36.951,OK
data_for_algoritm_16068.json,304,34.7985,48792.0,0,91.63,37.977,OK
data_for_algoritm_16069.json,496,195.492,72782.0,0,91.63,213.349,OK
data_for_algoritm_16070.json,496,195.492,72782.0,0,91.63,213.349,OK
data_for_algoritm_16072.json,496,195.492,72782.0,0,91.63,213.349,OK
data_for_algoritm_16073.json,496,195.492,72782.0,0,91.63,213.349,OK
data_for_algoritm_16074.json,496,174.9099,72782.0,0,91.63,190.887,OK
data_for_algoritm_16079.json,30,48.664,5900.0,0,91.63,53.109,OK
data_for_algoritm_16088.json,10,32.75804,184.5,0,91.63,35.75,OK
data_for_algoritm_16092.json,22,74.98658,388.5,0,91.63,81.836,OK
data_for_algoritm_16098.json,17,57.16256,303.5,0,91.63,62.384,OK
data_for_algoritm_16106.json,490,9.1174,3352.0,0,91.63,9.95,OK
data_for_algoritm_16124.json,18,62.74076,320.5,0,91.63,68.472,OK
data_for_algoritm_16130.json,25,62.751565,322.95,0,91.63,68.484,OK
data_for_algoritm_16131.json,592,43.308,592.0,0,91.63,47.264,OK
data_for_algoritm_16137.json,7,10.782215,2320.0,0,91.63,11.767,OK
data_for_algoritm_16140.json,15,52.317314,10740.0,0,91.63,57.096,OK
data_for_algoritm_16143.json,1500,375.0,750000.0,0,91.63,409.255,OK
data_for_algoritm_16144.json,26,64.984164,326.95,0,91.63,70.92,OK
data_for_algoritm_16146.json,583,44.751702,275.8,0,91.63,48.84,OK
data_for_algoritm_16148.json,583,44.751702,275.8,0,91.63,48.84,OK
data_for_algoritm_16159.json,617,249.26982,736.3,0,91.63,272.04,OK
data_for_algoritm_16162.json,617,249.26982,736.3,0,91.63,272.04,OK
data_for_algoritm_16166.json,20,58.8,23800.0,0,91.63,64.171,OK
data_for_algoritm_16174.json,653,249.971396,1097.9,0,91.63,272.805,OK
data_for_algoritm_16176.json,653,249.971396,1097.9,0,91.63,272.805,OK
data_for_algoritm_16178.json,653,249.971396,1097.9,0,91.63,272.805,OK
data_for_algoritm_16179.json,17,11.35855,2091.0,0,91.63,12.396,OK
data_for_algoritm_16180.json,32,33.711465,5576.0,0,91.63,36.791,OK
data_for_algoritm_16181.json,32,33.711465,5576.0,0,91.63,36.791,OK
data_for_algoritm_16183.json,32,33.711465,5576.0,0,91.63,36.791,OK
data_for_algoritm_16184.json,32,33.711465,5576.0,0,91.63,36.791,OK
data_for_algoritm_16218.json,653,249.971396,1097.9,0,91.63,272.805,OK
data_for_algoritm_16220.json,653,249.971396,1097.9,0,91.63,272.805,OK
data_for_algoritm_16222.json,653,249.971396,1097.9,0,91.63,272.805,OK
data_for_algoritm_16244.json,7,36.878648,52.0,0,91.63,40.247,OK
data_for_algoritm_16245.json,653,249.971396,1097.9,0,91.63,272.805,OK
data_for_algoritm_16248.json,5,4.013246,540.0,0,91.63,4.38,LOW_FILL
data_for_algoritm_16249.json,5,4.013246,540.0,0,91.63,4.38,LOW_FILL
